gene	transcript	protein_change	score	pvalue	qvalue	info
ASXL3	NA	NA	NA	NA	1	NA
CNTNAP5	NA	NA	NA	NA	1	NA
CTNNB1	NA	NA	NA	NA	2.64171292030404e-08	NA
HMCN1	NA	NA	NA	NA	1	NA
MUC16	NA	NA	NA	NA	1	NA
PCDH15	NA	NA	NA	NA	1	NA
PKHD1	NA	NA	NA	NA	1	NA
TTN	NA	NA	NA	NA	1	NA
A2M	NA	NA	NA	NA	1	NA
A2ML1	NA	NA	NA	NA	1	NA
AADACL4	NA	NA	NA	NA	1	NA
AASDH	NA	NA	NA	NA	1	NA
AASS	NA	NA	NA	NA	1	NA
AATK	NA	NA	NA	NA	1	NA
ABCA1	NA	NA	NA	NA	1	NA
ABCA12	NA	NA	NA	NA	1	NA
ABCA13	NA	NA	NA	NA	1	NA
ABCA2	NA	NA	NA	NA	1	NA
ABCA3	NA	NA	NA	NA	1	NA
ABCA4	NA	NA	NA	NA	1	NA
ABCA5	NA	NA	NA	NA	1	NA
ABCA6	NA	NA	NA	NA	1	NA
ABCA8	NA	NA	NA	NA	1	NA
ABCA9	NA	NA	NA	NA	1	NA
ABCB1	NA	NA	NA	NA	1	NA
ABCB4	NA	NA	NA	NA	1	NA
ABCB5	NA	NA	NA	NA	1	NA
ABCB8	NA	NA	NA	NA	1	NA
ABCC1	NA	NA	NA	NA	1	NA
ABCC10	NA	NA	NA	NA	1	NA
ABCC11	NA	NA	NA	NA	1	NA
ABCC12	NA	NA	NA	NA	1	NA
ABCC2	NA	NA	NA	NA	1	NA
ABCC3	NA	NA	NA	NA	1	NA
ABCC4	NA	NA	NA	NA	1	NA
ABCC5	NA	NA	NA	NA	1	NA
ABCC8	NA	NA	NA	NA	1	NA
ABCC9	NA	NA	NA	NA	1	NA
ABCD3	NA	NA	NA	NA	1	NA
ABCG2	NA	NA	NA	NA	1	NA
ABHD15	NA	NA	NA	NA	1	NA
ABHD16A	NA	NA	NA	NA	1	NA
ABI2	NA	NA	NA	NA	1	NA
ABI3BP	NA	NA	NA	NA	1	NA
ABL1	NA	NA	NA	NA	1	NA
ABL2	NA	NA	NA	NA	1	NA
AC004381.6	NA	NA	NA	NA	1	NA
ACACA	NA	NA	NA	NA	1	NA
ACACB	NA	NA	NA	NA	1	NA
ACAD10	NA	NA	NA	NA	1	NA
ACAN	NA	NA	NA	NA	1	NA
ACAP3	NA	NA	NA	NA	1	NA
ACE	NA	NA	NA	NA	1	NA
ACHE	NA	NA	NA	NA	1	NA
ACIN1	NA	NA	NA	NA	1	NA
ACO2	NA	NA	NA	NA	1	NA
ACOT11	NA	NA	NA	NA	1	NA
ACOX2	NA	NA	NA	NA	1	NA
ACOX3	NA	NA	NA	NA	1	NA
ACPP	NA	NA	NA	NA	1	NA
ACSS3	NA	NA	NA	NA	1	NA
ACTA2	NA	NA	NA	NA	1	NA
ACTB	NA	NA	NA	NA	1	NA
ACTG1	NA	NA	NA	NA	1	NA
ACTL6A	NA	NA	NA	NA	1	NA
ACTN1	NA	NA	NA	NA	1	NA
ACTN2	NA	NA	NA	NA	1	NA
ACTN4	NA	NA	NA	NA	1	NA
ACTR8	NA	NA	NA	NA	1	NA
ACY3	NA	NA	NA	NA	1	NA
ADAM10	NA	NA	NA	NA	1	NA
ADAM15	NA	NA	NA	NA	1	NA
ADAM22	NA	NA	NA	NA	1	NA
ADAM29	NA	NA	NA	NA	1	NA
ADAM30	NA	NA	NA	NA	1	NA
ADAMTS10	NA	NA	NA	NA	1	NA
ADAMTS12	NA	NA	NA	NA	1	NA
ADAMTS13	NA	NA	NA	NA	1	NA
ADAMTS14	NA	NA	NA	NA	1	NA
ADAMTS15	NA	NA	NA	NA	1	NA
ADAMTS16	NA	NA	NA	NA	1	NA
ADAMTS18	NA	NA	NA	NA	1	NA
ADAMTS2	NA	NA	NA	NA	1	NA
ADAMTS20	NA	NA	NA	NA	1	NA
ADAMTS3	NA	NA	NA	NA	1	NA
ADAMTS4	NA	NA	NA	NA	1	NA
ADAMTS5	NA	NA	NA	NA	1	NA
ADAMTS9	NA	NA	NA	NA	1	NA
ADAMTSL1	NA	NA	NA	NA	1	NA
ADAMTSL3	NA	NA	NA	NA	1	NA
ADAR	NA	NA	NA	NA	1	NA
ADARB2	NA	NA	NA	NA	0.200065586631443	NA
ADAT1	NA	NA	NA	NA	1	NA
